segment_index;caption;arquivo;imagem;score
1;Você se cobra demais, e por quê?;15.mp4;Calendário com dias rasgados;0.2871955335140228
2;Essa cobrança, de onde vem?;169.mp4;Carta de baralho perdida no chão;0.3790411949157715
3;Adler já sacou: neurose é perfeccionismo disfarçado.;84.mp4;Cursor piscando num documento vazio;0.507484495639801
4;A gente gasta uma vida inteira tentando provar nosso valor para os outros e, principalmente, para nós mesmos.;91.mp4;Balança antiga prestes a pender;0.3847638964653015
5;Mas, ei, a régua não existe!;117.mp4;Bruma cobrindo o farol ao amanhecer;0.4061497151851654
6;A perfeição é uma armadilha constante, que nos leva à paralisia.;35.mp4;"Bússola quebrada apontando ""nada""";0.5416507720947266
7;Adler dizia: coragem não é ausência de medo, é seguir em frente apesar dele.;46.mp4;Pássaro saindo da jaula;0.5661681890487671
8;Errar faz parte da experiência humana.;53.mp4;Brinquedo antigo quebrado no chão;0.6007667779922485
9;Cair também faz parte.;188.mp4;Nevasca apagando pegadas recentes;0.3186098337173462
10;O que realmente importa é levantar, aprender com os erros e seguir em frente, sempre sabendo que a jornada é muito mais importante que o destino final.;95.mp4;Ponte queimada atrás do viajante;0.5743626356124878
11;Que tal se libertar dessa pressão paralisante hoje mesmo?;196.mp4;Ponte pênsil oscilando ao caminhar;0.5583473443984985
12;Se fez sentido para você, espalhe essa ideia libertadora.;1.mp4;Porta entreaberta com luz vazando;0.46721428632736206
