viver sem propósito aparente, Nietzsche
sentir que nada faz sentido, Camus
a angústia de ser livre, Sartre
controlar o que não depende de você, Estoicismo
sofrer por desejar demais, Schopenhauer
encontrar sentido em tempos difíceis, Frankl
comparar-se o tempo todo, Adler
usar o poder nas relações do dia a dia, Maquiavel
ter medo de perder o que ama, Epicuro
reconhecer o lado sombrio em si mesmo, Jung
buscar autenticidade num mundo padronizado, Nietzsche
enfrentar o tédio e a rotina, Camus
tomar decisões sem garantias, Sartre
lidar com a raiva e a frustração, Estoicismo
esperar demais dos outros, Schopenhauer
viver tentando agradar todo mundo, Adler
achar propósito em meio ao caos, Frankl
ser sincero num ambiente falso, Maquiavel
buscar prazer sem cair no vazio, Epicuro
lidar com sonhos e símbolos do inconsciente, Jung
superar o medo de ser julgado, Nietzsche
viver o absurdo com leveza, Camus
fugir da responsabilidade das próprias escolhas, Sartre
aceitar o que não dá pra mudar, Estoicismo
repetir os mesmos erros por desejo, Schopenhauer
ter coragem de ser imperfeito, Adler
transformar dor em propósito, Frankl
entender o jogo social sem se perder, Maquiavel
viver com menos e ainda ser feliz, Epicuro
aceitar a própria sombra, Jung
